"da[, 1]","DCoVaR1DL","DCoVaR2DL","DCoVaR3DL","DCoVaR4DL","DCoVaR5DL","DCoVaR6DL","VaR1D","DCoVaR2DR","DCoVaR3DR","DCoVaR4DR","DCoVaR5DR","DCoVaR6DR","DCoVaR1UL","DCoVaR2UL","DCoVaR3UL","DCoVaR4UL","DCoVaR5UL","DCoVaR6UL","DCoVaR1UR","DCoVaR2UR","DCoVaR3UR","DCoVaR4UR","DCoVaR5UR","DCoVaR6UR"
"2006-03-08",-0.025170754,-0.012700265,-0.001730171,-0.010983935,-0.003538469,-0.003690083,-0.041007148,-0.03286328,-0.002713678,-0.0185059,-0.004462264,-0.002734545,0.025167019,0.011965474,0.009546246,0.010331875,0.009059883,0.003690083,0.04615101,0.049705237,0.027643043,0.030121483,0.018183757,-0.001512412
"2006-03-09",-0.025209571,-0.013517124,-0.001626014,-0.011690403,-0.003325453,-0.00346794,-0.0415542,-0.033301689,-0.002749879,-0.018534439,-0.004469146,-0.002910426,0.025205831,0.012735074,0.008971562,0.010996405,0.008514478,0.00346794,0.047023966,0.049628576,0.029254242,0.029307947,0.019285773,0.000580823000000001
"2006-03-10",-0.024613114,-0.013350221,-0.001727284,-0.011546055,-0.003532565,-0.003683926,-0.041176267,-0.032998812,-0.002724869,-0.018095915,-0.004363406,-0.00287449,0.024609462,0.012577827,0.009530317,0.010860626,0.009044766,0.003683926,0.04698627,0.049253098,0.027846465,0.028457345,0.017423247,-0.000650972999999999
"2006-03-13",-0.024257808,-0.013099568,-0.001619403,-0.011329276,-0.003311932,-0.00345384,-0.03966608,-0.031788543,-0.002624931,-0.01783469,-0.004300418,-0.002820521,0.02425421,0.012341676,0.008935084,0.010656716,0.008479858,0.00345384,0.044822694,0.047303959,0.027373607,0.028113678,0.018004692,0.00011251
"2006-03-14",-0.025021173,-0.012814783,-0.001523374,-0.011082977,-0.003115538,-0.003249031,-0.039323841,-0.031514271,-0.002602283,-0.018395926,-0.004435747,-0.002759202,0.025017461,0.012073367,0.008405243,0.010425038,0.007977012,0.003249031,0.043494798,0.047108016,0.027986032,0.029739589,0.02005085,0.000713130999999999
"2006-03-15",-0.024159498,-0.012604117,-0.001428428,-0.01090078,-0.002921357,-0.00304653,-0.038155308,-0.030577805,-0.002524955,-0.017762411,-0.004282989,-0.002713843,0.024155914,0.01187489,0.007881373,0.010253658,0.007479832,0.00304653,0.042403065,0.045617862,0.027735479,0.028477937,0.019785337,0.001397806
"2006-03-16",-0.024242442,-0.012281923,-0.001344853,-0.010622129,-0.002750434,-0.002868283,-0.038143081,-0.030568006,-0.002524146,-0.017823392,-0.004297693,-0.002644471,0.024238845,0.011571337,0.007420248,0.009991548,0.007042201,0.002868283,0.042300369,0.045947229,0.028563028,0.028968578,0.020742929,0.00182532
"2006-03-17",-0.023259729,-0.012534182,-0.001269529,-0.010840297,-0.002596384,-0.002707633,-0.037054862,-0.029695903,-0.002452132,-0.017100887,-0.004123478,-0.002698785,0.023256279,0.011809002,0.007004647,0.010196765,0.006647774,0.002707633,0.041462588,0.044076053,0.02819803,0.026998751,0.020108779,0.00290561
"2006-03-20",-0.022474081,-0.012205805,-0.001200051,-0.010556297,-0.002454291,-0.002559452,-0.036830244,-0.029515893,-0.002437267,-0.016523267,-0.003984199,-0.002628081,0.022470747,0.011499622,0.006621302,0.009929624,0.006283959,0.002559452,0.041868122,0.044099959,0.028664841,0.025995347,0.01969487,0.003183492
"2006-03-21",-0.022691838,-0.011968878,-0.001216113,-0.010351389,-0.002487142,-0.00259371,-0.037379138,-0.02995578,-0.002473591,-0.016683366,-0.004022802,-0.002577067,0.022688472,0.011276404,0.006709928,0.009736881,0.00636807,0.00259371,0.04256654,0.045162021,0.029069407,0.026626994,0.019841708,0.00271858
"2006-03-22",-0.02227111,-0.011914707,-0.001404748,-0.010304538,-0.002872928,-0.002996026,-0.035842228,-0.028724094,-0.002371885,-0.01637404,-0.003948216,-0.002565403,0.022267805,0.011225366,0.007750721,0.009692811,0.007355836,0.002996026,0.040423376,0.042961799,0.02558819,0.025958477,0.017349722,0.000752900999999999
"2006-03-23",-0.021982159,-0.013847391,-0.00132236,-0.011976037,-0.002704431,-0.002820309,-0.034453063,-0.027610813,-0.002279957,-0.016161599,-0.003896991,-0.002981538,0.021978898,0.013046232,0.00729614,0.011265082,0.006924415,0.002820309,0.038395582,0.0388368,0.02498387,0.023375743,0.017768853,0.004056386
