"da[, 1]","PCoVaR1DL","PCoVaR2DL","PCoVaR3DL","PCoVaR4DL","PCoVaR5DL","PCoVaR6DL","VaR1D","PCoVaR2DR","PCoVaR3DR","PCoVaR4DR","PCoVaR5DR","PCoVaR6DR","PCoVaR1UL","PCoVaR2UL","PCoVaR3UL","PCoVaR4UL","PCoVaR5UL","PCoVaR6UL","PCoVaR1UR","PCoVaR2UR","PCoVaR3UR","PCoVaR4UR","PCoVaR5UR","PCoVaR6UR"
"2020-02-14",1.02537477444149,0.942848441435312,0.235307427910398,0.88807454095619,0.328648768476654,0.563045957436133,1.67238485826523,1.41029294431763,0.250547695490695,0.8524618009274,0.274088902402332,0.463198975656854,0.984483925330666,0.893807489755528,0.214301084928361,0.84192816178505,1.0055475935696,1.06663442473339,1.58062670592566,1.68251925531533,1.70273347459936,1.07732775259131,2.59186844042664,2.2479537224419
"2020-02-17",1.02616169166975,0.943346609646127,0.236019357627244,0.888543757085472,0.329643041745193,0.564749345060522,1.68034400852725,1.41700474015986,0.25174006857136,0.853116026070149,0.274299266293061,0.463443730777371,0.983759635452495,0.893331962889029,0.213714040847607,0.84148025321848,1.00279289254448,1.06371238203069,1.5758396769378,1.70276862286665,1.76050536683447,1.09586715616101,2.66860849581258,2.28716916350555
"2020-02-18",1.02529441102943,0.943868028949069,0.236545252193893,0.889034905059574,0.330377534863924,0.566007760868071,1.67168102956814,1.4096993913353,0.250442213603564,0.852394982309668,0.274067424917275,0.463699872546362,0.984557986656007,0.892835324678332,0.213284681340703,0.841012416382782,1.00077821825085,1.06157530710808,1.57983126348625,1.94339550995591,1.98682530207101,1.28016149935657,2.97132083173425,2.27003740082393
"2020-02-19",1.02607230208871,0.943921004868059,0.236078695857316,0.889084796222349,0.329725997291105,0.564891409470333,1.68247986336748,1.41880587387277,0.25206006546018,0.853041696380662,0.27427535945334,0.463725896024673,0.983841860278077,0.892784973927755,0.213665359901337,0.840964966489363,1.00256457786045,1.06347018163702,1.5408226559892,1.81147513138647,1.74748667651742,1.21019884500639,2.70023545145812,2.14314219079801
"2020-02-20",1.02660007986758,0.94416787736782,0.236847736264025,0.889317327685415,0.330800113725651,0.566731605118155,1.68943281129152,1.42466916045587,0.253101718459755,0.853480476249615,0.274416446562383,0.463847189549734,0.983357042845935,0.892550279913384,0.213039268490436,0.84074392295082,0.999626872648711,1.06035405202385,1.52158514585456,1.78268897613555,1.82460947808144,1.20346486587384,2.82721307469731,2.26052162191458
"2020-02-21",1.02593071151244,0.944697415032521,0.236114184000522,0.889816079637708,0.329775607988798,0.5649763988604,1.68367110036364,1.41981043262324,0.252238517526873,0.852923974644501,0.27423752925044,0.464107345992211,0.983972058193669,0.892047608881524,0.213636222319818,0.84027045776599,1.00242805427918,1.06332533590625,1.51130708377595,1.97712583256041,1.74087950128223,1.36801440771092,2.73407772716225,1.95941264147367
"2020-02-24",1.02648148004482,0.944956688400448,0.233622644185959,0.890060285612592,0.326295662171353,0.55901452675811,1.6928984782152,1.42759171555471,0.253620918525795,0.853381882468193,0.274384761468584,0.464234701981315,0.983465898503769,0.891801921985522,0.215717895049606,0.840039020244183,1.01219550626038,1.07368614781327,1.47157552934012,1.91791035939036,1.12312496898239,1.35724701357727,1.93315224946912,1.33495209059467
"2020-02-25",1.02673500828755,0.944546394821613,0.229182810765477,0.88967383666672,0.320094686543688,0.548390945678956,1.70032466181326,1.43385407437367,0.254733444630647,0.853592626670997,0.274452491192389,0.46403312913738,0.983233281400006,0.892190874023212,0.219646789610673,0.840405399346706,1.03063091274106,1.09324156159039,1.42289964308336,1.74081762607535,0.119184210351734,1.25809636782798,0.574885098615178,0.308993738661603
"2020-02-26",1.02753226126718,0.944635793847665,0.227991876547372,0.889758041636211,0.318431292952297,0.545541240512223,1.70326645904544,1.43633483426674,0.255174201033823,0.854255467616902,0.274665633533392,0.464077059599851,0.982503286097005,0.8921060489179,0.220751973867559,0.840325473548181,1.03581658881488,1.09874225414509,1.47642746167638,1.72774355262797,-0.155481095173115,1.19788959688161,0.161689481847969,-0.00804869409965992
"2020-02-27",1.0258000453954,0.94505938782221,0.228089375815322,0.890157009312403,0.318567475814703,0.545774524786432,1.70282340943248,1.43596123155072,0.255107827472661,0.852815365615266,0.274202595379357,0.46428516272391,0.984092243260873,0.891704694560088,0.22066065518627,0.839947424397656,1.03538811482802,1.09828773409242,1.30173286389201,1.82324720005353,-0.13235799773076,1.44929623516108,0.285077140256086,-0.0154886575220611
