Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2014-07-30,-0.014201445,-0.018780935,-0.012831612,-0.013674996,0.021127445,0.020088935,0.013091873,0.015104996,-0.038292541,-0.040578945,0.039600541,0.047504945,-0.024464164,-0.034968333,0.025086829,0.044559911,-0.022239403,-0.024688494,0.016695268,0.023076244,-0.022964944,-0.033031051,0.024324664,0.036856529,-0.015512625,-0.020995964,0.024627755,0.030300488,-0.017861193,-0.016270433,0.019291193,0.016328794
2014-07-31,-0.013645512,-0.018024202,-0.012824158,-0.013194554,0.020571512,0.019332202,0.013084645,0.014624554,-0.03677609,-0.039192865,0.03808409,0.046118865,-0.024450122,-0.033758828,0.025072809,0.043266516,-0.021473018,-0.023802515,0.01616173,0.02245898,-0.022951752,-0.031719465,0.024311075,0.035446921,-0.014970828,-0.020152985,0.023829373,0.029146151,-0.017240984,-0.016261032,0.018670984,0.016319733
2014-08-01,-0.013950137,-0.018347096,-0.012570429,-0.021626285,0.020876137,0.019655096,0.012838622,0.023056285,-0.037423152,-0.03995237,0.038731152,0.04687837,-0.02397214,-0.034421579,0.024595547,0.043975235,-0.034923011,-0.024287989,0.025525271,0.022797211,-0.022502672,-0.032279112,0.023848506,0.036048394,-0.024479307,-0.02051268,0.037840907,0.029638701,-0.028125592,-0.015941009,0.029555592,0.016011309
2014-08-04,-0.014524578,-0.018648666,-0.013021791,-0.02184857,0.021450578,0.019956666,0.013276276,0.02327857,-0.038027482,-0.041384599,0.039335482,0.048310599,-0.024822427,-0.035671352,0.025444553,0.045311692,-0.035277593,-0.025203466,0.025772122,0.023435027,-0.023301545,-0.0328018,0.024671375,0.036610146,-0.024729978,-0.020848621,0.038210292,0.030098723,-0.028412542,-0.016510301,0.029842542,0.016559968
2014-08-05,-0.015899059,-0.019303012,-0.01314399,-0.02035101,0.022825059,0.020611012,0.013394763,0.02178101,-0.039338756,-0.04481153,0.040646756,0.05173753,-0.025052628,-0.038661718,0.025674407,0.048509468,-0.032888738,-0.027393951,0.024109063,0.024961146,-0.023517826,-0.033935927,0.024894153,0.037829032,-0.023041177,-0.021577544,0.035721703,0.031096877,-0.026479326,-0.016664427,0.027909326,0.016708509
2014-08-06,-0.015378341,-0.018437798,-0.012834053,-0.022684895,0.022304341,0.019745798,0.01309424,0.024114895,-0.037604914,-0.043513246,0.038912914,0.050439246,-0.024468762,-0.037528826,0.025091421,0.047297999,-0.036611667,-0.026564092,0.02670087,0.02438298,-0.022969265,-0.032436319,0.024329114,0.03621735,-0.025673103,-0.02061372,0.039600065,0.02977706,-0.029492162,-0.016273512,0.030922162,0.016331761
2014-08-07,-0.014816013,-0.017769699,-0.012609629,-0.021582845,0.021742013,0.019077699,0.012876631,0.023012845,-0.03626608,-0.04211122,0.03757408,0.04903722,-0.024045986,-0.036305407,0.024669281,0.045989725,-0.034853718,-0.02566792,0.025477031,0.023758614,-0.022572052,-0.031278354,0.02391997,0.034972844,-0.02443032,-0.019869476,0.03776872,0.028757926,-0.028069515,-0.01599045,0.029499515,0.016058958
2014-08-08,-0.016437488,-0.018935821,-0.012950757,-0.022396282,0.023363488,0.020243821,0.013207399,0.023826282,-0.038602925,-0.046153968,0.039910925,0.053079968,-0.024688611,-0.03983314,0.025310939,0.049762139,-0.036151283,-0.028252034,0.026380363,0.025558975,-0.02317582,-0.033299503,0.024541874,0.037145045,-0.025347634,-0.021168504,0.039120459,0.030536756,-0.029119589,-0.016420707,0.030549589,0.016473622
2014-08-11,-0.015767905,-0.018140961,-0.013054178,-0.020820669,0.022693905,0.019448961,0.013307679,0.022250669,-0.037010069,-0.044484528,0.038318069,0.051410528,-0.024883439,-0.038376374,0.025505473,0.048204333,-0.033637922,-0.027184933,0.024630625,0.024815522,-0.023358868,-0.031921834,0.024730419,0.035664414,-0.023570813,-0.020283052,0.036502165,0.029324257,-0.027085614,-0.01655115,0.028515614,0.016599337
2014-08-12,-0.016555198,-0.018773014,-0.012769644,-0.019432978,0.023481198,0.020081014,0.013031787,0.020862978,-0.038276668,-0.046447449,0.039584668,0.053373449,-0.024347426,-0.040089233,0.024970268,0.050035995,-0.031424327,-0.028439626,0.023089577,0.025689671,-0.022855266,-0.033017322,0.024211691,0.036841775,-0.022005911,-0.020987141,0.034196152,0.030288406,-0.025294229,-0.016192274,0.026724229,0.016253467
