Date,VaR1D,VaR2D,VaR3D,VaR4D,VaR1U,VaR2U,VaR3U,VaR4U,CoVaR1DL,CoVaR1DR,CoVaR1UL,CoVaR1UR,CoVaR2DL,CoVaR2DR,CoVaR2UL,CoVaR2UR,CoVaR3DL,CoVaR3DR,CoVaR3UL,CoVaR3UR,CoVaR4DL,CoVaR4DR,CoVaR4UL,CoVaR4UR,CoVaR5DL,CoVaR5DR,CoVaR5UL,CoVaR5UR,CoVaR6DL,CoVaR6DR,CoVaR6UL,CoVaR6UR
2006/2/14,-0.023927642,-0.028309244,-0.015795557,-0.017947369,0.030853642,0.029617244,0.015965797,0.019377369,-0.057490266,-0.065031447,0.058793937,0.071948962,-0.030299545,-0.056868383,0.029630639,0.063868604,-0.019803808,-0.026647715,0.0296203,0.045850745,-0.028339458,-0.049763551,0.027765033,0.051071551,-0.021744075,-0.033482447,0.029098442,0.041969684,-0.021906755,-0.018918469,0.023336755,0.018905697
2006/2/15,-0.022759649,-0.027694977,-0.015524281,-0.016740403,0.029685649,0.029002977,0.015702761,0.018170403,-0.056257113,-0.062110705,0.057560876,0.069028581,-0.029784273,-0.054295731,0.029137723,0.061292787,-0.018476778,-0.025363734,0.027750884,0.044043246,-0.02785716,-0.04869427,0.027303501,0.05000227,-0.020291561,-0.032758465,0.027262777,0.04109344,-0.02044372,-0.018594657,0.02187372,0.018593204
2006/2/16,-0.022268646,-0.026867905,-0.015172317,-0.015671719,0.029194646,0.028175905,0.015361487,0.017101719,-0.054596751,-0.060882877,0.055900637,0.067800906,-0.029115738,-0.053214234,0.028498194,0.06020996,-0.017301787,-0.024823971,0.026095647,0.043283405,-0.027231407,-0.047254551,0.026704691,0.048562551,-0.019005462,-0.031783667,0.025637424,0.039913633,-0.019148305,-0.018174531,0.020578305,0.018187762
2006/2/17,-0.025479183,-0.02860676,-0.014692615,-0.014658227,0.032405183,0.02991476,0.014896353,0.016088227,-0.058087535,-0.068911311,0.059391161,0.075828345,-0.028204572,-0.060285851,0.027626559,0.067290276,-0.016187478,-0.028353335,0.024525896,0.048251796,-0.026378549,-0.050281449,0.025888555,0.051589449,-0.017785784,-0.033833103,0.024096013,0.042394086,-0.017919792,-0.017601928,0.019349792,0.017635173
2006/2/20,-0.024974091,-0.027572894,-0.014254898,-0.014438923,0.031900091,0.028880894,0.014471931,0.015868923,-0.05601203,-0.067648253,0.05731581,0.074565443,-0.027373154,-0.059173322,0.026831214,0.066176379,-0.015946359,-0.027798085,0.024186226,0.047470154,-0.025600337,-0.048481755,0.02514385,0.049789755,-0.017521864,-0.032614576,0.023762475,0.04091929,-0.017653961,-0.017079442,0.019083961,0.017130949
2006/2/21,-0.024051026,-0.026451176,-0.013847435,-0.013832389,0.030977026,0.027759176,0.014076843,0.015262389,-0.053760159,-0.065339989,0.055064107,0.072257465,-0.026599203,-0.057140154,0.026090842,0.064140709,-0.015279489,-0.026783353,0.023246792,0.046041686,-0.024875913,-0.046529133,0.024450618,0.047837133,-0.016791936,-0.031292505,0.022840002,0.039319174,-0.016918745,-0.01659307,0.018348745,0.016661575
2006/2/22,-0.024376427,-0.026562218,-0.01368991,-0.014431322,0.031302427,0.027870218,0.013924102,0.015861322,-0.053983078,-0.066153703,0.05528701,0.073071078,-0.026299992,-0.05785689,0.025804613,0.064858328,-0.015938002,-0.027141068,0.024174453,0.046545252,-0.02459585,-0.046722428,0.024182614,0.048030428,-0.017512717,-0.03142338,0.023750915,0.039477574,-0.017644747,-0.016405037,0.019074747,0.016480115
2006/2/23,-0.024062847,-0.025188169,-0.013328297,-0.013514147,0.030988847,0.026496169,0.013573472,0.014944147,-0.051224648,-0.065369549,0.052528785,0.072287022,-0.02561313,-0.057166191,0.025147551,0.064166778,-0.01492959,-0.026796348,0.022753882,0.046059979,-0.023952942,-0.044330563,0.023567388,0.045638563,-0.01640895,-0.029803909,0.022355991,0.037517511,-0.016532985,-0.015973394,0.017962985,0.016063558
2006/2/24,-0.02270451,-0.024085917,-0.012983572,-0.01417643,0.02963051,0.025393917,0.013239218,0.01560643,-0.049011857,-0.061972821,0.050316159,0.068890715,-0.024958347,-0.05417428,0.024521176,0.061171187,-0.015657755,-0.025303119,0.023779663,0.043957916,-0.023340061,-0.042411826,0.022980895,0.043719826,-0.01720597,-0.028504781,0.023363253,0.035945164,-0.017335778,-0.015561909,0.018765778,0.015666456
2006/2/27,-0.021757265,-0.02373107,-0.013156423,-0.013325437,0.028683265,0.02503907,0.013406818,0.014755437,-0.048299493,-0.059604092,0.049603848,0.066522279,-0.025286666,-0.052087852,0.024835251,0.059082192,-0.014722109,-0.024261806,0.022461598,0.04249203,-0.023647369,-0.041794128,0.023274972,0.043102128,-0.016181849,-0.028086553,0.022068984,0.035438979,-0.016304239,-0.015768234,0.017734239,0.015865569
